timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740752986282,22,HTTP Request,200,OK,Thread Group 1-272,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,22,0,1
1740752986267,38,HTTP Request,200,OK,Thread Group 1-264,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,38,0,0
1740752986281,28,HTTP Request,200,OK,Thread Group 1-271,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,28,0,0
1740752986273,36,HTTP Request,200,OK,Thread Group 1-267,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,36,0,0
1740752986272,39,HTTP Request,200,OK,Thread Group 1-266,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,39,0,0
1740752986270,44,HTTP Request,200,OK,Thread Group 1-265,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,44,0,0
1740752986285,35,HTTP Request,200,OK,Thread Group 1-273,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,35,0,0
1740752986287,41,HTTP Request,200,OK,Thread Group 1-274,text,true,,307,257,21,21,http://localhost/exam/Exo1/src/api.php,41,0,0
1740752986291,37,HTTP Request,200,OK,Thread Group 1-276,text,true,,307,257,21,21,http://localhost/exam/Exo1/src/api.php,37,0,0
1740752986289,39,HTTP Request,200,OK,Thread Group 1-275,text,true,,307,257,21,21,http://localhost/exam/Exo1/src/api.php,39,0,0
1740752986297,31,HTTP Request,200,OK,Thread Group 1-279,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,31,0,0
1740752986293,35,HTTP Request,200,OK,Thread Group 1-277,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,35,0,0
1740752986296,32,HTTP Request,200,OK,Thread Group 1-278,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,32,0,0
1740752986305,29,HTTP Request,200,OK,Thread Group 1-283,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,29,0,0
1740752986310,27,HTTP Request,200,OK,Thread Group 1-285,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,27,0,0
1740752986307,35,HTTP Request,200,OK,Thread Group 1-284,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,35,0,1
1740752986332,10,HTTP Request,200,OK,Thread Group 1-297,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,10,0,0
1740752986302,40,HTTP Request,200,OK,Thread Group 1-282,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,40,0,1
1740752986311,31,HTTP Request,200,OK,Thread Group 1-286,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,31,0,0
1740752986313,29,HTTP Request,200,OK,Thread Group 1-287,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,29,0,0
1740752986300,42,HTTP Request,200,OK,Thread Group 1-280,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,42,0,0
1740752986301,44,HTTP Request,200,OK,Thread Group 1-281,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,44,0,0
